txn_id,item_name,qty,price
TXN-1000,Basmati Rice 1kg,4,136
TXN-1001,Lux Soap,2,301
TXN-1002,Basmati Rice 1kg,3,185
TXN-1003,Cardamom 100g,1,358
TXN-1004,Tur Dal Loose,3,199
TXN-1005,Tata Tea Gold,4,331
TXN-1006,Tur Dal Loose,3,374
TXN-1007,Sugar 1kg,3,391
TXN-1008,Aashirvaad Atta 5kg,4,392
TXN-1009,Sugar 1kg,3,403
TXN-1010,Aashirvaad Atta 5kg,2,402
TXN-1011,Lux Soap,1,457
TXN-1012,Tur Dal Loose,4,221
TXN-1013,Basmati Rice 1kg,1,293
TXN-1014,Tata Tea Gold,5,202
TXN-1015,Sugar 1kg,4,104
TXN-1016,Basmati Rice 1kg,1,467
TXN-1017,Aashirvaad Atta 5kg,5,188
TXN-1018,Lux Soap,2,298
TXN-1019,Basmati Rice 1kg,2,92
TXN-1020,Cardamom 100g,2,158
TXN-1021,Aashirvaad Atta 5kg,2,400
TXN-1022,Tur Dal Loose,3,69
TXN-1023,Sugar 1kg,5,272
TXN-1024,Sugar 1kg,5,52
TXN-1025,Sugar 1kg,1,225
TXN-1026,Basmati Rice 1kg,3,223
TXN-1027,Aashirvaad Atta 5kg,3,472
TXN-1028,Sugar 1kg,3,242
TXN-1029,Sugar 1kg,3,447
TXN-1030,Lux Soap,1,74
TXN-1031,Cardamom 100g,4,187
TXN-1032,Basmati Rice 1kg,4,284
TXN-1033,Lux Soap,5,29
TXN-1034,Basmati Rice 1kg,4,380
TXN-1035,Sugar 1kg,1,80
TXN-1036,Aashirvaad Atta 5kg,1,107
TXN-1037,Tur Dal Loose,3,61
TXN-1038,Aashirvaad Atta 5kg,5,328
TXN-1039,Basmati Rice 1kg,3,272
TXN-1040,Tur Dal Loose,3,394
TXN-1041,Cardamom 100g,2,372
TXN-1042,Tur Dal Loose,2,479
TXN-1043,Lux Soap,1,409
TXN-1044,Sugar 1kg,5,43
TXN-1045,Cardamom 100g,3,239
TXN-1046,Aashirvaad Atta 5kg,4,340
TXN-1047,Sugar 1kg,1,131
TXN-1048,Basmati Rice 1kg,1,442
TXN-1049,Basmati Rice 1kg,2,212
TXN-1050,Cardamom 100g,3,477
TXN-1051,Tur Dal Loose,1,190
TXN-1052,Tur Dal Loose,3,253
TXN-1053,Tata Tea Gold,4,278
TXN-1054,Lux Soap,4,271
TXN-1055,Tata Tea Gold,3,112
TXN-1056,Tur Dal Loose,1,377
TXN-1057,Tur Dal Loose,4,42
TXN-1058,Basmati Rice 1kg,4,378
TXN-1059,Cardamom 100g,5,44
TXN-1060,Sugar 1kg,1,216
TXN-1061,Basmati Rice 1kg,1,373
TXN-1062,Tata Tea Gold,5,109
TXN-1063,Aashirvaad Atta 5kg,3,261
TXN-1064,Tur Dal Loose,1,302
TXN-1065,Aashirvaad Atta 5kg,3,348
TXN-1066,Lux Soap,5,299
TXN-1067,Aashirvaad Atta 5kg,1,427
TXN-1068,Tur Dal Loose,1,212
TXN-1069,Aashirvaad Atta 5kg,5,20
TXN-1070,Tur Dal Loose,5,192
TXN-1071,Basmati Rice 1kg,5,402
TXN-1072,Lux Soap,2,103
TXN-1073,Tata Tea Gold,2,112
TXN-1074,Sugar 1kg,3,198
TXN-1075,Tata Tea Gold,1,198
TXN-1076,Tata Tea Gold,1,103
TXN-1077,Basmati Rice 1kg,4,437
TXN-1078,Basmati Rice 1kg,3,167
TXN-1079,Cardamom 100g,1,126
TXN-1080,Lux Soap,3,485
TXN-1081,Basmati Rice 1kg,3,120
TXN-1082,Lux Soap,3,109
TXN-1083,Cardamom 100g,2,159
TXN-1084,Cardamom 100g,1,171
TXN-1085,Aashirvaad Atta 5kg,1,454
TXN-1086,Sugar 1kg,1,289
TXN-1087,Cardamom 100g,5,188
TXN-1088,Cardamom 100g,3,118
TXN-1089,Basmati Rice 1kg,4,384
TXN-1090,Basmati Rice 1kg,4,103
TXN-1091,Cardamom 100g,5,458
TXN-1092,Sugar 1kg,2,91
TXN-1093,Aashirvaad Atta 5kg,2,40
TXN-1094,Sugar 1kg,4,469
TXN-1095,Lux Soap,4,206
TXN-1096,Tur Dal Loose,1,201
TXN-1097,Basmati Rice 1kg,4,39
TXN-1098,Aashirvaad Atta 5kg,3,149
TXN-1099,Aashirvaad Atta 5kg,3,116
TXN-1100,Aashirvaad Atta 5kg,2,381
TXN-1101,Sugar 1kg,4,166
